model,hidden_layers,hidden_nodes,epochs,batch_size,learning_rate,weight_decay,train_acc,valid_acc,,,,,,,,,
6165,2,6,472,4,0.02,0,90.13452915,75.67567568,,,,,,,,,
6337,2,6,168,8,0.002,2.00E-05,90.13452915,75.67567568,,,,,,,,,
6440,2,6,185,8,0.04,2.00E-05,90.58295964,75.67567568,,,,,,,,,
6582,2,6,330,16,0.004,0,92.82511211,75.67567568,,,,,,,,,
6692,2,6,241,16,0.08,1.00E-05,90.58295964,75.67567568,,,,,,,,,
6705,2,6,1038,16,0.1,0,90.58295964,75.67567568,,,,,,,,,
6717,2,6,1499,16,0.1,2.00E-05,86.9955157,75.67567568,,,,,,,,,
6807,2,6,618,32,0.002,1.00E-06,91.47982063,75.67567568,,,,,,,,,
6828,2,6,167,32,0.004,1.00E-06,91.03139013,75.67567568,,,,,,,,,
6922,2,6,59,32,0.08,0,90.58295964,75.67567568,,,,,,,,,
6944,2,6,117,32,0.1,0,91.47982063,75.67567568,,,,,,,,,
6945,2,6,90,32,0.1,0,91.92825112,75.67567568,,,,,,,,,
7161,2,12,322,4,0.08,0,91.47982063,75.67567568,,,,,,,,,
7313,2,12,65,8,0.004,1.00E-05,95.06726457,75.67567568,,,,,,,,,
7386,2,12,21,8,0.04,1.00E-06,92.37668161,75.67567568,,,,,,,,,
7404,2,12,52,8,0.08,0,91.92825112,75.67567568,,,,,,,,,
7411,2,12,60,8,0.08,1.00E-05,93.2735426,75.67567568,,,,,,,,,
7422,2,12,78,8,0.1,0,90.58295964,75.67567568,,,,,,,,,
7423,2,12,155,8,0.1,0,90.58295964,75.67567568,,,,,,,,,
7430,2,12,50,8,0.1,1.00E-06,90.13452915,75.67567568,,,,,,,,,
7543,2,12,54,16,0.004,0,90.13452915,75.67567568,,,,,,,,,
7599,2,12,31,16,0.01,2.00E-05,94.17040359,75.67567568,,,,,,,,,
7601,2,12,27,16,0.02,0,94.17040359,75.67567568,,,,,,,,,
7687,2,12,1380,32,0.0002,1.00E-06,90.13452915,75.67567568,,,,,,,,,
7819,2,12,54,32,0.008,2.00E-05,91.47982063,75.67567568,,,,,,,,,
7867,2,12,17,32,0.04,1.00E-06,90.58295964,75.67567568,,,,,,,,,
7904,2,12,21,32,0.1,0,94.17040359,75.67567568,,,,,,,,,
7938,2,24,356,4,0.0002,2.00E-05,90.13452915,75.67567568,,,,,,,,,
8102,2,24,42,4,0.04,0,95.06726457,75.67567568,,,,,,,,,
8231,2,24,84,8,0.001,1.00E-05,90.13452915,75.67567568,,,,,,,,,
8279,2,24,26,8,0.004,2.00E-05,91.47982063,75.67567568,,,,,,,,,
8303,2,24,19,8,0.01,0,94.17040359,75.67567568,,,,,,,,,
8305,2,24,21,8,0.01,0,90.58295964,75.67567568,,,,,,,,,
8309,2,24,16,8,0.01,1.00E-06,92.37668161,75.67567568,,,,,,,,,
